CAS,SMILES,Solubility
60-35-5,CC(N)=O,1.58
60-34-4,CNN,1.34
64-19-7,CC(O)=O,1.22
123-75-1,C1CCCN1,1.15
127-07-1,NC([NH]O)=O,1.12
56-81-5,OC(CO)CO,1.12
127-19-5,CC(N(C)C)=O,1.11
289-80-5,c1cccnn1,1.1
289-95-2,c1ccncn1,1.1
50-70-4,OC(CO)C(O)C(O)C(O)CO,1.09
541-48-0,CC(N)CC(O)=O,1.08
110-85-0,C1CNCCN1,1.07
110-89-4,C1CCCCN1,1.07
626-64-2,Oc1ccncc1,1.02
72762-00-6,Oc1ncccc1,1.02
110-94-1,OC(CCCC(O)=O)=O,1
109-02-4,CN1CCOCC1,1
598-55-0,NC(OC)=O,0.97
694-85-9,O=C(C=CC=C1)N1C,0.96
79-11-8,OC(CCl)=O,0.93
51-79-6,NC(OCC)=O,0.85
63-75-2,O=C(C1=CCCN(C)C1)OC,0.81
108-46-3,Oc1cc(O)ccc1,0.81
110-86-1,c1cnccc1,0.76
109-07-9,CC1CNCCN1,0.74
@57-48-7,O1CC(O)C(O)C(O)C1(O)CO,0.64
120-80-9,Oc1c(O)cccc1,0.62
98-92-0,NC(c1cccnc1)=O,0.61
51953-17-4,O=C1NC=NC=C1,0.59
123-38-6,CCC=O,0.58
107-31-3,C(OC)=O,0.58
107-02-8,C=CC=O,0.57
109-99-9,C1CCOC1,0.56
78-93-3,CC(CC)=O,0.52
106-55-8,CC1NCC(C)NC1,0.49
109-87-5,COCOC,0.48
108-48-5,Cc1nc(C)ccc1,0.45
589-93-5,Cc1ccc(C)nc1,0.4
87-72-9,OC1COC(O)C(O)C1O,0.39
108-47-4,Cc1cc(C)ncc1,0.38
583-61-9,Cc(cccn1)c1C,0.38
485-35-8,O=C1N(CC3CNCC2C3)C2=CC=C1,0.36
643-12-9,OC1C(O)C(O)C(O)C(O)C1O,0.35
4170-30-3,CC=CC=O,0.32
80-60-4,CCC(C(O)=O)N,0.31
123-56-8,O=C(CC1)NC1=O,0.3
79-31-2,CC(C)C(O)=O,0.28
626-67-5,CN1CCCCC1,0.23
123-54-6,CC(CC(C)=O)=O,0.22
109-94-4,C(OCC)=O,0.15
107-13-1,C=CC#N,0.15
96-47-9,CC1CCCO1,0.11
4248-19-5,CC(C)(C)OC(N)=O,0.1
75-85-4,CCC(C)(O)C,0.08
100-63-0,NNc1ccccc1,0.07
78-83-1,CC(C)CO,0.04
597-35-3,O=S(CC)(CC)=O,0.04
91-18-9,c12nccnc1ncnc2,0.02
54-85-3,O=C(c1ccncc1)NN,0.01
108-95-2,Oc1ccccc1,0
123-72-8,CCCC=O,-0.01
481-37-8,CN1C2CCC1C(C(O)=O)C(O)C2,-0.02
142-68-7,C1CCOCC1,-0.03
15414-82-1,CCC1NC(=O)NC1(=O),-0.06
10004-44-1,Cc1cc(O)no1,-0.07
72-19-5,NC(C(O)=O)C(O)C,-0.09
60-29-7,CCOCC,-0.09
98-01-1,C(c1ccco1)=O,-0.1
2432-20-4,Cc1nc(nccn2)c2cn1,-0.12
