,Solubility (M/L),SMILES
0,1.58,CC(N)=O
1,1.34,CNN
2,1.22,CC(O)=O
3,1.15,C1CCCN1
4,1.12,NC([NH]O)=O
5,1.12,OC(CO)CO
6,1.11,CC(N(C)C)=O
7,1.1,c1cccnn1
8,1.1,c1ccncn1
9,1.09,OC(CO)C(O)C(O)C(O)CO
10,1.08,CC(N)CC(O)=O
11,1.07,C1CNCCN1
12,1.07,C1CCCCN1
13,1.02,Oc1ccncc1
14,1.02,Oc1ncccc1
15,1.0,OC(CCCC(O)=O)=O
16,1.0,CN1CCOCC1
17,0.97,NC(OC)=O
18,0.96,O=C(C=CC=C1)N1C
19,0.93,OC(CCl)=O
20,0.85,NC(OCC)=O
21,0.81,O=C(C1=CCCN(C)C1)OC
22,0.81,Oc1cc(O)ccc1
23,0.76,c1cnccc1
24,0.74,CC1CNCCN1
25,0.64,O1CC(O)C(O)C(O)C1(O)CO
26,0.62,Oc1c(O)cccc1
27,0.61,NC(c1cccnc1)=O
28,0.59,O=C1NC=NC=C1
29,0.58,CCC=O
30,0.58,C(OC)=O
31,0.57,C=CC=O
32,0.56,C1CCOC1
33,0.52,CC(CC)=O
34,0.49,CC1NCC(C)NC1
35,0.48,COCOC
36,0.45,Cc1nc(C)ccc1
37,0.4,Cc1ccc(C)nc1
38,0.39,OC1COC(O)C(O)C1O
39,0.38,Cc1cc(C)ncc1
40,0.38,Cc(cccn1)c1C
41,0.36,O=C1N(CC3CNCC2C3)C2=CC=C1
42,0.35,OC1C(O)C(O)C(O)C(O)C1O
43,0.32,CC=CC=O
44,0.31,CCC(C(O)=O)N
45,0.3,O=C(CC1)NC1=O
46,0.28,CC(C)C(O)=O
47,0.23,CN1CCCCC1
48,0.22,CC(CC(C)=O)=O
49,0.15,C(OCC)=O
50,0.15,C=CC#N
51,0.11,CC1CCCO1
52,0.1,CC(C)(C)OC(N)=O
53,0.08,CCC(C)(O)C
54,0.07,NNc1ccccc1
55,0.04,CC(C)CO
56,0.04,O=S(CC)(CC)=O
57,0.02,c12nccnc1ncnc2
58,0.01,O=C(c1ccncc1)NN
59,0.0,Oc1ccccc1
60,-0.01,CCCC=O
